Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T056_001,SE_T056_002,SE_T056_003,SE_T056_004,SE_T056_005,SE_T056_006,SE_T056_007,SE_T056_008,SE_T056_009,SE_T056_010,SE_T056_011,SE_T056_012,SE_T056_013,SE_T056_014,SE_T056_015,SE_T056_016,SE_T056_017,SE_T057_001,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T058_010,SE_T059_001,SE_T061_001,SE_T062_001,SE_T063_001,SE_T064_001,SE_T065_001,SE_T065_002,SE_T065_003,SE_T065_004,SE_T065_005,SE_T065_006,SE_T065_007,SE_T066_001,SE_T066_002,SE_T066_003,SE_T066_004,SE_T066_005,SE_T066_006,SE_T066_007,SE_T066_008,SE_T066_009,SE_T066_010,SE_T066_011,SE_T066_012,SE_T066_013,SE_T066_014,SE_T066_015,SE_T066_016,SE_T066_017,SE_T066_018,SE_T067_001,SE_T067_002,SE_T067_003,SE_T074_001,SE_T074_002,SE_T074_003,SE_T075_001,SE_T075_002,SE_T075_003,SE_T076_001,SE_T076_002,SE_T076_003,SE_T077_001,SE_T077_002,SE_T077_003,SE_T078_001,SE_T078_002,SE_T078_003,SE_T079_001,SE_T079_002,SE_T079_003,SE_T080_001,SE_T080_002,SE_T080_003,SE_T081_001,SE_T081_002,SE_T081_003,SE_T082_001,SE_T082_002,SE_T082_003,SE_T083_001,SE_T084_001,SE_T085_001,SE_T086_001,SE_T087_001,SE_T088_001,SE_T089_001,SE_T090_001,SE_T091_001,SE_T092_001
"32003003305","14000US32003003305","Census Tract 33.05, Clark County, Nevada","Census Tract 33.05, Clark County, Nevada","nv","140","00","ACSSF","0001651",,,,,"32","003",,,,"003305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4716,4716,3774.29,1.24950656142036,1821,152,50,39,44,11,39,89,88,34,106,239,355,234,144,143,54,77216,77216,73053,86656,,78750,90673,153750,102813,66856,74016,80501.1532125206,88693,89773.9436619718,39837,55096.8692449355,37458,45784,58125,18182,30584,41504,13467,45179,53077,43506,37059,56728,76100,54922,55380,56154,42461,58603,140481,38479,22361,35694,35030,53523,71250,77216,76648,81563,1821,1493,328,1821,1467,354,1821,155,1666,1821,298,1523,1821,468,1353,1821,11,1810,1821,18,1803,1821,399,1422,1821,400,1421,31930,31855,34178,,25545,,42121,23764,32407,32144
"32003003306","14000US32003003306","Census Tract 33.06, Clark County, Nevada","Census Tract 33.06, Clark County, Nevada","nv","140","00","ACSSF","0001652",,,,,"32","003",,,,"003306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4109,4109,4011.248,1.02436961097889,1901,61,53,71,31,70,81,133,73,91,106,310,320,220,132,112,37,66431,66431,66028,47075,,100854,,83235,64938,88750,65141,75595.2656496581,75655,82728.2738095238,44350,57355.8348294434,33731,43727,49716,30819,27197,51136,19140,36280,14526,36000,33462,43750,54479,44123,46250,44808,26887,45500,64712,33214,13750,28966,35170,38750,47143,66431,68114,63267,1901,1232,669,1901,1220,681,1901,164,1737,1901,752,1149,1901,1004,897,1901,28,1873,1901,10,1891,1901,826,1075,1901,331,1570,35351,36680,24262,,50659,,29290,33867,27774,36585
"32003003307","14000US32003003307","Census Tract 33.07, Clark County, Nevada","Census Tract 33.07, Clark County, Nevada","nv","140","00","ACSSF","0001653",,,,,"32","003",,,,"003307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6830,6830,6503.763,1.05016123626828,2206,59,14,11,18,86,57,76,80,81,119,190,712,218,191,190,104,86154,86154,86094,98145,,131842,,80774,,81389,86974,92539.8912058024,86427,93341.2266666667,74583,74120.2416918429,37866,39421,47606,29032,33159,44583,12641,41945,21059,44095,41442,41609,51947,42380,25455,39637,42213,44479,46964,41604,13409,44483,39022,41274,110136,86154,87488,82989,2206,2076,130,2206,2010,196,2206,122,2084,2206,348,1858,2206,471,1735,2206,53,2153,2206,30,2176,2206,386,1820,2206,236,1970,30631,32153,30710,,28751,,23874,12903,21337,35319
"32003003308","14000US32003003308","Census Tract 33.08, Clark County, Nevada","Census Tract 33.08, Clark County, Nevada","nv","140","00","ACSSF","0001654",,,,,"32","003",,,,"003308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2262,2262,2457.543,0.920431291573552,674,40,12,0,36,12,51,0,27,0,84,36,23,58,109,103,83,107794,107794,106429,114722,,80707,,,,58917,130337,113950,113519,112779.615384615,33750,109593.506493506,29928,35089,87813,22574,28031,38224,11923,46379,22773,22094,52656,61369,128056,66250,2499,28167,52656,80227,130966,32404,,21042,60000,61131,92292,107794,82337,130074,674,548,126,674,548,126,674,98,576,674,186,488,674,123,551,674,0,674,674,12,662,674,116,558,674,91,583,35740,43156,31398,,19355,23435,8565,,14122,51530
"32003003309","14000US32003003309","Census Tract 33.09, Clark County, Nevada","Census Tract 33.09, Clark County, Nevada","nv","140","00","ACSSF","0001655",,,,,"32","003",,,,"003309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3501,3501,2806.898,1.24728454340329,1279,38,0,0,0,47,44,51,24,12,44,152,165,291,131,239,41,105568,105568,106250,54844,,105865,,34844,,34554,107833,106857.466770915,106818,108394.014084507,57813,68160.8391608392,47025,68421,80512,27950,34279,47247,17794,52418,41932,42021,55625,66719,58433,73233,85250,60625,77019,88565,59429,45035,6905,41027,39185,50673,51979,105568,107008,101103,1279,1121,158,1279,1065,214,1279,209,1070,1279,515,764,1279,228,1051,1279,38,1241,1279,0,1279,1279,310,969,1279,213,1066,39565,40005,51427,,28177,,,1307,23849,41879
"32003003310","14000US32003003310","Census Tract 33.10, Clark County, Nevada","Census Tract 33.10, Clark County, Nevada","nv","140","00","ACSSF","0001656",,,,,"32","003",,,,"003310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4028,4028,1473.647,2.73335513523615,1397,0,30,0,0,0,0,10,67,0,60,108,305,159,181,290,187,120547,120547,112875,135938,,115972,,,,83784,124911,132080.386542591,120703,133413.908872902,100167,104067.808219178,55324,69766,82808,30156,43125,54565,18627,63061,43372,52317,62232,74904,66844,73148,,58723,82620,93036,72045,50288,,40750,46607,67861,63477,120547,126364,82361,1397,1353,44,1397,1331,66,1397,130,1267,1397,507,890,1397,232,1165,1397,14,1383,1397,29,1368,1397,319,1078,1397,208,1189,46324,45078,77856,,49662,,,12816,28803,48349
"32003003311","14000US32003003311","Census Tract 33.11, Clark County, Nevada","Census Tract 33.11, Clark County, Nevada","nv","140","00","ACSSF","0001657",,,,,"32","003",,,,"003311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4053,4053,8426.001,0.481011108931779,1192,0,75,0,114,11,73,23,0,13,86,155,309,91,103,84,55,79630,79630,80298,73827,12039,,,160043,,101181,80595,89351.0067114094,80730,87721.0362694301,34122,95373.5682819383,30399,45429,60089,23682,14981,50778,10044,43140,22206,40547,49015,32121,69167,43670,22206,43616,60750,32159,59600,42417,,9904,44917,27463,76250,79630,80714,66731,1192,1074,118,1192,999,193,1192,128,1064,1192,253,939,1192,270,922,1192,109,1083,1192,0,1192,1192,269,923,1192,249,943,26906,26029,26192,,16784,,21013,,8662,29728
"32003003312","14000US32003003312","Census Tract 33.12, Clark County, Nevada","Census Tract 33.12, Clark County, Nevada","nv","140","00","ACSSF","0001658",,,,,"32","003",,,,"003312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3825,3825,3945.035,0.969573218099852,1052,16,9,0,0,0,26,0,13,15,77,172,151,196,160,124,93,105565,105565,113910,105341,,100656,,,111750,112702,116016,117885.931558935,106210,119598.235294118,46167,60675,52314,66201,80346,35313,31833,59674,11346,65866,65563,50655,66389,65765,70720,76330,67031,76680,75455,78250,78021,52167,30474,31613,53929,58913,70074,105565,106129,68250,1052,1011,41,1052,1011,41,1052,116,936,1052,225,827,1052,161,891,1052,8,1044,1052,0,1052,1052,191,861,1052,225,827,32823,34267,34940,,36821,87867,57952,6620,26727,38285
"32003003313","14000US32003003313","Census Tract 33.13, Clark County, Nevada","Census Tract 33.13, Clark County, Nevada","nv","140","00","ACSSF","0001659",,,,,"32","003",,,,"003313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3459,3459,7203.1,0.480209946918673,925,0,31,25,0,14,28,38,39,12,24,76,226,123,264,13,12,88979,88979,88552,135775,,112000,,,85521,116250,87835,94590.9189189189,89665,96708.5081585082,38207,48501.4925373134,41122,52426,59962,10893,31563,42641,17371,51458,51746,44453,58589,21467,,59760,51654,59636,63051,85234,,41736,53194,35313,50909,17100,,88979,89482,83854,925,895,30,925,878,47,925,59,866,925,121,804,925,118,807,925,14,911,925,0,925,925,246,679,925,66,859,26102,28002,21951,,27403,,,12645,26963,27564
"32003003314","14000US32003003314","Census Tract 33.14, Clark County, Nevada","Census Tract 33.14, Clark County, Nevada","nv","140","00","ACSSF","0001660",,,,,"32","003",,,,"003314",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6013,6013,1008.853,5.960233792589,2056,87,10,64,16,88,21,81,38,38,115,165,452,206,298,192,185,90338,90338,90057,91250,,87212,,70500,250001,95197,88456,102455.398832685,92401,107499.686520376,50919,78656.399132321,44459,53591,71287,31520,31172,42898,24261,47438,46535,41477,46111,57083,69545,57417,46535,51221,62925,64643,81339,32422,,27228,30651,44167,51602,90338,104292,80551,2056,1831,225,2056,1710,346,2056,264,1792,2056,426,1630,2056,383,1673,2056,32,2024,2056,10,2046,2056,274,1782,2056,227,1829,35742,36315,27613,,48431,,13643,35618,21616,40525
"32003003315","14000US32003003315","Census Tract 33.15, Clark County, Nevada","Census Tract 33.15, Clark County, Nevada","nv","140","00","ACSSF","0001661",,,,,"32","003",,,,"003315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3719,3719,9569.865,0.388615700149962,1200,33,7,14,16,0,8,51,97,19,151,209,302,175,93,25,0,72216,72216,75913,39236,,88864,,,61538,55313,77386,77781.1666666667,77455,83968.9309576837,53485,58647.6821192053,43727,51536,55486,39292,37649,50188,13527,50817,15313,36630,51189,60319,77386,56215,,38500,55446,61612,78634,39375,7813,36196,31167,46250,75170,72216,76378,53214,1200,1123,77,1200,1111,89,1200,57,1143,1200,90,1110,1200,184,1016,1200,9,1191,1200,0,1200,1200,114,1086,1200,213,987,25198,29089,13701,,29068,,,19442,17414,31883
"32003003316","14000US32003003316","Census Tract 33.16, Clark County, Nevada","Census Tract 33.16, Clark County, Nevada","nv","140","00","ACSSF","0001662",,,,,"32","003",,,,"003316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5088,5088,1890.874,2.69081903082176,1610,10,51,0,7,69,12,14,12,37,61,242,344,248,190,200,113,93649,93649,98676,74679,78385,105234,,,,126130,93615,106113.043478261,86528,103987.438249824,77841,81560.621761658,53178,56424,62821,42000,37179,58875,14662,55082,41477,52337,55373,56250,86058,60106,79875,55643,60048,75455,86731,42277,22059,24583,50703,40417,69327,93649,98529,93176,1610,1480,130,1610,1436,174,1610,238,1372,1610,216,1394,1610,291,1319,1610,16,1594,1610,9,1601,1610,249,1361,1610,405,1205,34108,35903,32930,25494,32213,,27546,10827,26876,37249
"32003003317","14000US32003003317","Census Tract 33.17, Clark County, Nevada","Census Tract 33.17, Clark County, Nevada","nv","140","00","ACSSF","0001663",,,,,"32","003",,,,"003317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2548,2548,7329.767,0.347623618333367,832,11,11,0,22,0,7,55,51,23,90,198,142,163,40,19,0,69091,69091,71290,37100,,,,61181,,56705,88034,77023.7980769231,63885,68472.4919093851,72109,81433.1775700935,41373,55288,59039,14659,31223,44023,14682,44506,14614,37760,52153,49755,,57776,14000,38490,59583,58657,,40088,,36667,43287,41172,,69091,86731,55545,832,772,60,832,744,88,832,64,768,832,170,662,832,131,701,832,0,832,832,0,832,832,133,699,832,191,641,25474,26941,25638,,31399,,17974,668,19537,28724
"32003003318","14000US32003003318","Census Tract 33.18, Clark County, Nevada","Census Tract 33.18, Clark County, Nevada","nv","140","00","ACSSF","0001664",,,,,"32","003",,,,"003318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5192,5192,5958.8,0.871316392199501,1710,0,0,15,16,23,16,36,52,119,127,383,469,204,118,112,20,79486,79486,80151,78059,,79792,,98017,80208,78194,80403,86552.2222222222,80583,89884.6441947565,65202,63179.7333333333,37708,42993,55260,19817,29599,44922,18889,45913,35703,33214,52614,47350,51833,56590,35234,50292,61223,69702,68821,31826,53036,28977,19766,46008,44353,79486,81672,67817,1710,1636,74,1710,1625,85,1710,147,1563,1710,222,1488,1710,271,1439,1710,0,1710,1710,0,1710,1710,205,1505,1710,198,1512,29479,29517,23137,,41134,16452,36942,27430,24161,30201
"32003003319","14000US32003003319","Census Tract 33.19, Clark County, Nevada","Census Tract 33.19, Clark County, Nevada","nv","140","00","ACSSF","0001665",,,,,"32","003",,,,"003319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6329,6329,9601.071,0.65919726269002,1892,26,11,11,42,53,69,115,65,28,146,281,292,385,190,81,97,81524,81524,77917,87303,,39148,,113284,125665,113306,79167,89899.2071881607,82051,90777.5882352941,44891,70168.2291666667,37719,43972,49613,20337,28150,48750,13605,42488,34306,28100,42835,61092,61094,46949,33542,29550,51250,49761,63500,37000,35982,24883,29609,65394,60156,81524,83625,68988,1892,1778,114,1892,1775,117,1892,211,1681,1892,217,1675,1892,265,1627,1892,19,1873,1892,83,1809,1892,432,1460,1892,342,1550,27234,29085,25100,,23323,,24224,15508,18884,31763
"32003003320","14000US32003003320","Census Tract 33.20, Clark County, Nevada","Census Tract 33.20, Clark County, Nevada","nv","140","00","ACSSF","0001666",,,,,"32","003",,,,"003320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4433,4433,2723.141,1.62789943428309,1694,0,17,36,27,81,66,109,123,83,113,240,348,144,55,156,96,64555,64555,64826,80851,,24491,,127539,17407,39297,75889,81683.5301062574,80482,93214.3341815098,42098,54884.0776699029,32659,46568,55298,22308,30946,40104,14688,41032,15625,45352,37041,45486,60625,49519,15625,52674,46452,98214,42000,33971,,34405,35204,31113,61875,64555,84550,50670,1694,1624,70,1694,1570,124,1694,179,1515,1694,283,1411,1694,309,1385,1694,0,1694,1694,0,1694,1694,262,1432,1694,201,1493,32050,32041,53421,,,,31772,21427,26666,32777
"32003003321","14000US32003003321","Census Tract 33.21, Clark County, Nevada","Census Tract 33.21, Clark County, Nevada","nv","140","00","ACSSF","0001667",,,,,"32","003",,,,"003321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2692,2692,2705.429,0.995036270438319,888,0,16,9,0,30,0,12,41,11,70,33,80,81,94,234,177,134659,134659,133523,123942,,157273,,,,82024,133977,177475.337837838,134318,153674.060150376,250001,386785.555555556,52165,83494,85050,54758,23873,43068,15672,60820,66161,77500,42250,54671,79671,84209,44706,85188,107604,95417,85455,24738,,23233,24135,17456,70114,134659,133295,190321,888,769,119,888,711,177,888,290,598,888,275,613,888,221,667,888,0,888,888,14,874,888,122,766,888,143,745,58977,59724,61756,,72743,,,17476,26407,64688
