Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009,SE_T057_001,SE_T093_001,SE_T094_001,SE_T094_002,SE_T094_003,SE_T118_001,SE_T118_002,SE_T118_003,SE_T118_004,SE_T118_005
"04013104202","14000US04013104202","Census Tract 1042.02, Maricopa County, Arizona","Census Tract 1042.02, Maricopa County, Arizona","az","140","00","ACSSF","0003902",,,,,"04","013",,,,"104202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5653,5653,5678.499,0.995509631704857,5653,2804,2849,5653,170,298,396,383,689,707,567,1044,713,467,181,38,5653,5270,83,121,7,0,123,49,1840,1426,1118,308,70,238,414,154,260,66600,1939,1840,1603,237,5653,705,465,1170,4483
"04013104203","14000US04013104203","Census Tract 1042.03, Maricopa County, Arizona","Census Tract 1042.03, Maricopa County, Arizona","az","140","00","ACSSF","0003903",,,,,"04","013",,,,"104203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6459,6459,6477.73,0.997108480811494,6459,3194,3265,6459,657,339,478,154,451,1313,658,946,785,479,75,124,6459,4809,148,212,304,0,656,330,2394,1674,1179,495,221,274,720,406,314,49507,2480,2394,1637,757,6459,672,1736,2408,4051
"04013104204","14000US04013104204","Census Tract 1042.04, Maricopa County, Arizona","Census Tract 1042.04, Maricopa County, Arizona","az","140","00","ACSSF","0003904",,,,,"04","013",,,,"104204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3835,3835,6892.214,0.556424971853151,3835,1915,1920,3835,264,245,309,294,351,529,428,486,518,263,104,44,3835,3344,0,0,126,0,143,222,1149,885,664,221,105,116,264,110,154,55247,1179,1149,1014,135,3816,502,1060,1562,2254
"04013104205","14000US04013104205","Census Tract 1042.05, Maricopa County, Arizona","Census Tract 1042.05, Maricopa County, Arizona","az","140","00","ACSSF","0003905",,,,,"04","013",,,,"104205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5291,5291,4057.471,1.30401414987251,5291,2566,2725,5291,352,158,537,166,759,941,705,588,689,209,156,31,5291,3198,235,226,237,0,1341,54,2152,1198,872,326,87,239,954,562,392,39205,2555,2152,974,1178,5268,968,745,1713,3555
"04013104206","14000US04013104206","Census Tract 1042.06, Maricopa County, Arizona","Census Tract 1042.06, Maricopa County, Arizona","az","140","00","ACSSF","0003906",,,,,"04","013",,,,"104206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4255,4255,6780.908,0.627497115816753,4255,2071,2184,4255,313,345,296,229,418,687,456,626,445,238,175,27,4255,3060,11,93,160,0,811,120,1385,1099,703,396,165,231,286,114,172,47517,1491,1385,1153,232,4215,797,771,1568,2647
"04013104207","14000US04013104207","Census Tract 1042.07, Maricopa County, Arizona","Census Tract 1042.07, Maricopa County, Arizona","az","140","00","ACSSF","0003907",,,,,"04","013",,,,"104207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4494,4494,4392.764,1.02304605272302,4494,2435,2059,4494,228,317,248,226,566,869,387,623,607,286,126,11,4494,3833,140,162,208,0,97,54,1853,1135,787,348,104,244,718,423,295,50082,1990,1853,1153,700,4483,486,625,1111,3372
"04013104212","14000US04013104212","Census Tract 1042.12, Maricopa County, Arizona","Census Tract 1042.12, Maricopa County, Arizona","az","140","00","ACSSF","0003908",,,,,"04","013",,,,"104212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7087,7087,7111.101,0.996610795107931,7087,3764,3323,7087,570,481,418,451,789,1080,887,1119,808,397,83,4,7087,5873,103,0,411,24,384,292,2355,1661,1160,501,187,314,694,292,402,54987,2415,2355,1503,852,7015,464,1378,1842,5173
"04013104214","14000US04013104214","Census Tract 1042.14, Maricopa County, Arizona","Census Tract 1042.14, Maricopa County, Arizona","az","140","00","ACSSF","0003909",,,,,"04","013",,,,"104214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208,2208,2338.306,0.944273486981407,2208,1180,1028,2208,111,137,168,164,152,200,310,368,313,142,76,67,2208,2049,24,14,38,0,50,33,782,591,488,103,26,77,191,47,144,53182,854,782,601,181,2208,156,428,584,1624
"04013104215","14000US04013104215","Census Tract 1042.15, Maricopa County, Arizona","Census Tract 1042.15, Maricopa County, Arizona","az","140","00","ACSSF","0003910",,,,,"04","013",,,,"104215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3449,3449,3866.798,0.891952395146232,3449,1786,1663,3449,145,192,148,131,296,571,441,600,557,235,93,40,3449,2906,206,0,123,0,98,116,1560,816,558,258,113,145,744,306,438,50816,1761,1560,1110,450,3449,329,436,765,2684
"04013104216","14000US04013104216","Census Tract 1042.16, Maricopa County, Arizona","Census Tract 1042.16, Maricopa County, Arizona","az","140","00","ACSSF","0003911",,,,,"04","013",,,,"104216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5479,5479,5769.499,0.949649187563803,5479,2775,2704,5479,251,358,391,480,722,773,813,957,412,244,59,19,5479,4507,41,123,214,0,272,322,2026,1464,932,532,203,329,562,404,158,50398,2090,2026,1222,804,5368,476,1329,1805,3563
