Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T044_001,SE_T044_002,SE_T044_003,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T063_001,SE_T063_002,SE_T063_003,SE_T063_004,SE_T063_005,SE_T063_006,SE_T063_007,SE_T063_008,SE_T063_009,SE_T063_010,SE_T063_011,SE_T063_012,SE_T063_013,SE_T063_014,SE_T063_015,SE_T063_016,SE_T063_017,SE_T063_018,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T070_001,SE_T070_002,SE_T070_003,SE_T071_001,SE_T071_002,SE_T071_003,SE_T071_004
"Census Tract 4.06","Census Tract 4.06, Dane County, Wisconsin","55025000406","140","00","55","025","19",,"000406",2968,2968,2399.613,1.23686596231334,1.237112,1.236866,0.0002463332,2968,1358,1610,2968,190,102,91,38,319,889,363,180,226,124,200,246,32.8,31.8,33.9,2968,2413,58,5,403,0,39,50,2968,2874,2359,57,3,402,0,9,44,94,54,1,2,1,0,30,6,1548,592,511,81,20,61,956,720,236,2968,2911,1673,592,511,460,9,22,23,22,34,1238,720,236,282,57,48,9,1657,1548,614,934,1657,1548,109,109,63,43,3
"Census Tract 4.07","Census Tract 4.07, Dane County, Wisconsin","55025000407","140","00","55","025","19",,"000407",5661,5661,5323.288,1.06344044837273,1.068595,1.06344,0.00515485,5661,2752,2909,5661,446,449,434,237,455,1031,737,698,680,338,138,18,32.5,31.4,33.6,5661,3625,1205,19,269,1,263,279,5661,5085,3404,1168,17,269,1,12,214,576,221,37,2,0,0,251,65,2190,1420,960,460,95,365,770,547,223,5661,5661,4606,1420,960,1766,89,47,33,109,182,1055,547,223,285,0,0,0,2296,2190,1310,880,2296,2190,106,106,65,28,13
"Census Tract 4.08","Census Tract 4.08, Dane County, Wisconsin","55025000408","140","00","55","025","19",,"000408",1685,1685,1115.542,1.5104764964162,1.520169,1.510476,0.009692322,1685,619,1066,1685,22,8,7,13,105,191,77,101,134,169,380,478,75.7,62.9,79.3,1685,1530,59,9,29,0,27,31,1685,1612,1492,55,9,29,0,1,26,73,38,4,0,0,0,26,5,1228,246,186,60,18,42,982,927,55,1685,1583,542,246,186,67,6,14,6,2,15,1041,927,55,59,102,102,0,1400,1228,124,1104,1400,1228,172,172,157,13,2
"Census Tract 5.01","Census Tract 5.01, Dane County, Wisconsin","55025000501","140","00","55","025","19",,"000501",4670,4670,3609.217,1.29390946985083,1.295603,1.293909,0.001693058,4670,2253,2417,4670,311,272,273,179,320,670,574,649,660,400,272,90,40,38.1,41.3,4670,3650,508,22,187,4,158,141,4670,4333,3510,487,21,186,4,2,123,337,140,21,1,1,0,156,18,2001,1282,987,295,73,222,719,563,156,4670,4662,3744,1282,987,1217,56,32,24,56,90,918,563,156,199,8,0,8,2109,2001,1390,611,2109,2001,108,108,72,29,7
"Census Tract 5.03","Census Tract 5.03, Dane County, Wisconsin","55025000503","140","00","55","025","19",,"000503",7033,7033,5390.491,1.30470488666357,1.304705,1.304705,0,7033,3440,3593,7033,575,451,464,262,756,1487,941,930,766,261,120,20,31.2,30.9,31.5,7033,5098,804,32,368,0,457,274,7033,6283,4863,794,24,368,0,10,224,750,235,10,8,0,0,447,50,2879,1751,1289,462,104,358,1128,759,369,7033,7026,5465,1751,1289,1994,55,74,41,92,169,1561,759,369,433,7,0,7,3015,2879,1515,1364,3015,2879,136,136,110,19,7
"Census Tract 5.04","Census Tract 5.04, Dane County, Wisconsin","55025000504","140","00","55","025","19",,"000504",6738,6738,3512.129,1.91849421696162,1.918494,1.918494,0,6738,3366,3372,6738,663,416,320,181,525,1876,1059,771,648,189,65,25,31.3,30.8,31.9,6738,5340,499,20,459,4,186,230,6738,6245,5096,488,20,456,4,10,171,493,244,11,0,3,0,176,59,2875,1703,1353,350,97,253,1172,834,338,6738,6731,5179,1703,1353,1757,28,68,34,83,153,1552,834,338,380,7,0,7,3060,2875,1762,1113,3060,2875,185,185,108,70,7
"Census Tract 6","Census Tract 6, Dane County, Wisconsin","55025000600","140","00","55","025","19",,"000600",5647,5647,4644.574,1.21582725479809,1.263825,1.215827,0.04799791,5647,2834,2813,5647,669,544,397,219,657,1292,687,572,386,151,65,8,27.5,27.4,27.6,5647,2743,1213,73,330,6,1032,250,5647,3661,1938,1177,29,324,6,12,175,1986,805,36,44,6,0,1020,75,2064,1274,665,609,173,436,790,557,233,5647,5641,4561,1274,665,1915,90,122,63,190,242,1080,557,233,290,6,0,6,2296,2064,566,1498,2296,2064,232,232,190,31,11
"Census Tract 7","Census Tract 7, Dane County, Wisconsin","55025000700","140","00","55","025","19",,"000700",3211,3211,3618.583,0.887363956898642,0.887364,0.887364,0,3211,1517,1694,3211,220,194,183,110,171,388,479,486,544,249,133,54,41.8,41,42.6,3211,2902,151,5,65,1,23,64,3211,3119,2850,147,2,64,1,0,55,92,52,4,3,1,0,23,9,1363,883,754,129,33,96,480,358,122,3211,3166,2544,883,754,815,21,15,8,15,33,622,358,122,142,45,45,0,1447,1363,1091,272,1447,1363,84,84,47,20,17
"Census Tract 8","Census Tract 8, Dane County, Wisconsin","55025000800","140","00","55","025","19",,"000800",3557,3557,4822.125,0.737641641582895,0.7376416,0.7376416,0,3557,1714,1843,3557,177,142,131,77,332,804,455,494,500,217,145,83,37.3,35,39.7,3557,3119,74,11,224,0,25,104,3557,3421,3027,72,9,224,0,2,87,136,92,2,2,0,0,23,17,1790,846,686,160,43,117,944,652,292,3557,3555,2247,846,686,626,5,18,11,15,40,1308,652,292,364,2,0,2,1847,1790,1133,657,1847,1790,57,57,19,22,16
"Census Tract 9.01","Census Tract 9.01, Dane County, Wisconsin","55025000901","140","00","55","025","19",,"000901",2142,2142,8599.103,0.249095748706172,0.2490958,0.2490958,0,2142,1078,1064,2142,130,150,156,84,212,176,300,313,383,154,64,20,41,39.8,42.4,2142,1970,27,7,76,0,14,48,2142,2074,1930,24,4,74,0,5,37,68,40,3,3,2,0,9,11,839,549,488,61,12,49,290,206,84,2142,2136,1668,549,488,585,5,13,2,9,17,468,206,84,178,6,0,6,877,839,662,177,877,839,38,38,4,30,4
"Census Tract 9.02","Census Tract 9.02, Dane County, Wisconsin","55025000902","140","00","55","025","19",,"000902",5310,5310,10196.5,0.520766891584054,0.5207669,0.5207669,0,5310,2715,2595,5310,137,131,130,91,2476,956,320,362,442,158,82,25,24.1,24.1,24.1,5310,4546,74,13,525,1,32,119,5310,5171,4453,69,12,525,1,8,103,139,93,5,1,0,0,24,16,2466,705,591,114,43,71,1761,947,814,5310,5214,1996,705,591,560,1,40,5,17,77,3218,947,814,1457,96,6,90,2515,2466,772,1694,2515,2466,49,49,9,21,19
"Census Tract 10","Census Tract 10, Dane County, Wisconsin","55025001000","140","00","55","025","19",,"001000",2301,2301,3791.984,0.606806286361172,0.6068063,0.6068063,0,2301,982,1319,2301,110,133,115,53,514,282,306,257,326,138,45,22,32.8,35.2,30.7,2301,2140,42,1,43,0,13,62,2301,2253,2111,39,1,43,0,2,57,48,29,3,0,0,0,11,5,832,496,430,66,17,49,336,228,108,2301,1881,1426,496,430,459,4,9,6,8,14,455,228,108,119,420,0,420,862,832,648,184,862,832,30,30,7,18,5
"Census Tract 11.01","Census Tract 11.01, Dane County, Wisconsin","55025001101","140","00","55","025","19",,"001101",4197,4197,16254.96,0.258198107481579,0.2581981,0.2581981,0,4197,2186,2011,4197,2,1,0,3,3884,160,28,50,58,10,1,0,21,21.3,20.8,4197,3452,114,14,501,1,34,81,4197,4081,3376,110,12,500,1,7,75,116,76,4,2,1,0,27,6,1453,28,3,25,11,14,1425,428,997,4197,4046,72,28,3,3,1,21,1,4,11,3974,428,997,2549,151,0,151,1533,1453,0,1453,1533,1453,80,80,77,1,2
"Census Tract 11.02","Census Tract 11.02, Dane County, Wisconsin","55025001102","140","00","55","025","19",,"001102",3150,3150,7621.07,0.413327783758071,0.4145579,0.4133278,0.001230121,3150,1511,1639,3150,0,0,0,9,3122,18,0,0,0,1,0,0,19.6,19.6,19.5,3150,2595,55,8,362,1,37,92,3150,3021,2520,50,7,362,1,1,80,129,75,5,1,0,0,36,12,52,4,0,4,3,1,48,6,42,3150,183,14,4,0,0,0,0,0,5,5,169,6,42,121,2967,0,2967,55,52,0,52,55,52,3,3,3,0,0
"Census Tract 12","Census Tract 12, Dane County, Wisconsin","55025001200","140","00","55","025","19",,"001200",5890,5890,8386.589,0.70231174816254,0.7193276,0.7023118,0.01701591,5890,3224,2666,5890,177,173,137,94,2563,1085,403,502,456,198,73,29,24.2,24.1,24.5,5890,5023,170,25,452,2,79,139,5890,5627,4864,165,23,447,2,11,115,263,159,5,2,5,0,68,24,2444,763,552,211,76,135,1681,785,896,5890,5881,2272,763,552,689,21,84,8,32,123,3609,785,896,1928,9,0,9,2521,2444,686,1758,2521,2444,77,77,47,11,19
