Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_BLKGRP,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T044_001,SE_T044_002,SE_T044_003,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T063_001,SE_T063_002,SE_T063_003,SE_T063_004,SE_T063_005,SE_T063_006,SE_T063_007,SE_T063_008,SE_T063_009,SE_T063_010,SE_T063_011,SE_T063_012,SE_T063_013,SE_T063_014,SE_T063_015,SE_T063_016,SE_T063_017,SE_T063_018,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T070_001,SE_T070_002,SE_T070_003,SE_T071_001,SE_T071_002,SE_T071_003,SE_T071_004
"Block Group 2","Block Group 2, Census Tract 109, Champaign County, Illinois","93628476","6351","150","00","2","3","170190109002","17","019","010900","2",938,938,25.94733,36.15015976908,36.15261,36.15016,0.002452135,938,478,460,938,65,66,73,43,84,107,126,168,113,62,23,8,38.3,37,39.2,938,912,3,1,3,0,1,18,938,933,908,3,1,3,0,0,18,5,4,0,0,0,0,1,0,343,276,232,44,15,29,67,52,15,938,935,845,276,232,290,10,6,4,11,16,90,52,15,23,3,0,3,357,343,298,45,357,343,14,14,1,8,5
"Block Group 3","Block Group 3, Census Tract 109, Champaign County, Illinois","2610655","0","150","00","2","3","170190109003","17","019","010900","3",1112,1112,1103.197,1.00797957365053,1.00798,1.00798,0,1112,553,559,1112,68,82,89,48,78,119,176,199,118,68,51,16,39.4,38.2,40,1112,1075,7,3,5,0,4,18,1112,1097,1066,7,3,5,0,0,16,15,9,0,0,0,0,4,2,451,308,243,65,16,49,143,120,23,1112,1112,941,308,243,326,25,6,8,7,18,171,120,23,28,0,0,0,475,451,346,105,475,451,24,24,14,2,8
"Block Group 4","Block Group 4, Census Tract 109, Champaign County, Illinois","3778812","0","150","00","2","3","170190109004","17","019","010900","4",735,735,503.7671,1.45900753208123,1.459008,1.459008,0,735,379,356,735,54,47,57,30,63,89,108,121,77,60,25,4,37.4,35.9,38.7,735,725,4,0,2,0,0,4,735,731,723,4,0,1,0,0,3,4,2,0,0,1,0,0,1,294,206,157,49,18,31,88,70,18,735,735,624,206,157,224,7,1,2,10,17,111,70,18,23,0,0,0,315,294,251,43,315,294,21,21,4,10,7
"Block Group 5","Block Group 5, Census Tract 109, Champaign County, Illinois","54277946","58118","150","00","2","3","170190109005","17","019","010900","5",3232,3232,154.2218,20.9568322324273,20.97927,20.95683,0.02243949,3232,1569,1663,3232,222,209,184,96,603,611,414,380,269,159,68,17,29.3,30.2,28.5,3232,2927,125,12,84,0,17,67,3232,3168,2885,119,10,83,0,9,62,64,42,6,2,1,0,8,5,1341,731,585,146,47,99,610,361,249,3232,3216,2246,731,585,787,30,21,12,20,60,970,361,249,360,16,0,16,1421,1341,750,591,1421,1341,80,80,18,41,21
"Block Group 6","Block Group 6, Census Tract 109, Champaign County, Illinois","127112242","20110","150","00","2","3","170190109006","17","019","010900","6",563,563,11.47146,49.078312331949,49.08608,49.07831,0.007764515,563,273,290,563,31,40,42,20,39,57,65,114,88,47,15,5,43.2,45.8,40.3,563,544,2,1,3,0,0,13,563,560,541,2,1,3,0,0,13,3,3,0,0,0,0,0,0,215,164,142,22,10,12,51,41,10,563,563,501,164,142,163,7,5,5,6,9,62,41,10,11,0,0,0,247,215,181,34,247,215,32,32,3,7,22
"Block Group 1","Block Group 1, Census Tract 110, Champaign County, Illinois","236338","0","150","00","2","3","170190110001","17","019","011000","1",726,726,7956.111,0.0912506158329691,0.09125061,0.09125061,0,726,378,348,726,11,11,10,9,150,294,88,58,51,22,15,7,29.7,31.4,28.5,726,595,40,6,54,0,17,14,726,678,563,40,3,54,0,5,13,48,32,0,3,0,0,12,1,508,82,54,28,9,19,426,356,70,726,722,213,82,54,49,2,8,0,4,14,509,356,70,83,4,3,1,528,508,92,416,528,508,20,20,11,6,3
"Block Group 2","Block Group 2, Census Tract 110, Champaign County, Illinois","377819","0","150","00","2","3","170190110002","17","019","011000","2",883,883,6053.056,0.145876737652839,0.1458767,0.1458767,0,883,449,434,883,45,35,36,26,96,273,137,98,84,36,13,4,30.8,31.4,30.5,883,634,172,1,42,2,10,22,883,845,605,172,1,42,2,1,22,38,29,0,0,0,0,9,0,468,170,98,72,24,48,298,218,80,883,883,487,170,98,169,15,5,3,9,18,396,218,80,98,0,0,0,506,468,167,301,506,468,38,38,21,5,12
"Block Group 3","Block Group 3, Census Tract 110, Champaign County, Illinois","287079","0","150","00","2","3","170190110003","17","019","011000","3",794,794,7163.361,0.110841826294176,0.1108418,0.1108418,0,794,432,362,794,30,16,29,34,128,245,88,108,66,29,14,7,30.1,30.3,29.9,794,630,97,3,27,0,15,22,794,753,620,87,1,27,0,0,18,41,10,10,2,0,0,15,4,482,125,92,33,14,19,357,299,58,794,764,343,125,92,101,4,8,0,2,11,421,299,58,64,30,30,0,540,482,147,335,540,482,58,58,24,8,26
"Block Group 4","Block Group 4, Census Tract 110, Champaign County, Illinois","267357","0","150","00","2","3","170190110004","17","019","011000","4",704,704,6819.913,0.103227119199008,0.1032271,0.1032271,0,704,359,345,704,37,26,36,20,110,177,88,92,80,20,15,3,31.1,31.3,30.9,704,588,56,0,33,0,14,13,704,661,563,55,0,33,0,0,10,43,25,1,0,0,0,14,3,370,132,91,41,11,30,238,186,52,704,704,379,132,91,142,0,2,0,2,10,325,186,52,87,0,0,0,387,370,141,229,387,370,17,17,5,8,4
"Block Group 5","Block Group 5, Census Tract 110, Champaign County, Illinois","730350","0","150","00","2","3","170190110005","17","019","011000","5",702,702,2489.452,0.28198972350451,0.2819897,0.2819897,0,702,445,257,702,10,5,11,5,103,236,71,88,108,31,26,8,33.9,34.4,32.4,702,480,154,2,35,0,11,20,702,670,463,153,2,35,0,2,15,32,17,1,0,0,0,9,5,441,48,35,13,7,6,393,342,51,702,579,114,48,35,22,0,6,1,1,1,465,342,51,72,123,10,113,560,441,51,390,560,441,119,119,112,2,5
"Block Group 1","Block Group 1, Census Tract 111, Champaign County, Illinois","631398","6647","150","00","2","3","170190111001","17","019","011100","1",923,923,3786.136,0.243784141084824,0.2463506,0.2437841,0.002566421,923,522,401,923,17,11,6,1,215,409,58,92,70,25,12,7,29.1,29.1,29.1,923,483,116,1,296,0,3,24,923,894,460,115,1,295,0,2,21,29,23,1,0,1,0,1,3,537,100,82,18,8,10,437,308,129,923,849,242,100,82,37,1,7,10,3,2,607,308,129,170,74,67,7,561,537,37,500,561,537,24,24,15,3,6
"Block Group 2","Block Group 2, Census Tract 111, Champaign County, Illinois","257235","0","150","00","2","3","170190111002","17","019","011100","2",503,503,5064.49,0.0993189929837513,0.099319,0.099319,0,503,300,203,503,0,0,0,0,366,135,2,0,0,0,0,0,22.5,22.6,22.4,503,135,11,1,332,0,5,19,503,492,133,11,1,332,0,0,15,11,2,0,0,0,0,5,4,286,19,13,6,3,3,267,93,174,503,503,38,19,13,0,0,5,0,1,0,465,93,174,198,0,0,0,289,286,1,285,289,286,3,3,3,0,0
"Block Group 3","Block Group 3, Census Tract 111, Champaign County, Illinois","194299","0","150","00","2","3","170190111003","17","019","011100","3",1359,1359,18115.35,0.075019266498532,0.07501927,0.07501927,0,1359,838,521,1359,10,2,2,2,1019,278,11,14,12,5,2,2,22.5,22.5,22.4,1359,651,35,1,616,0,30,26,1359,1292,615,33,0,616,0,3,25,67,36,2,1,0,0,27,1,651,47,22,25,13,12,604,203,401,1359,1359,126,47,22,19,1,15,0,6,16,1233,203,401,629,0,0,0,671,651,18,633,671,651,20,20,10,0,10
